ID,Workstream,Class,Severity,Title,Evidence,Repro,SuggestedFix
B-01,B-physics,defect,high,"Implied lower bounds include ASTM D882 film strengths, so PLA is never screened for tensile strength up to 144.7 MPa","build/src/compile.js impliedBounds() filters out only ""Raw material"" specimens. M001 PLA carries V000039 (110.3 MPa, film MD) and V002179 (144.7 MPa, film TD), I-PLA-TDS p. 1, Specimen type ""Film specimen (ASTM D882)"". estimates.js excludes /^Film/ from the model, but the engine veto still reads them: PLA estimate 48.8-65.2 MPa (plausible 46.9-67.8) is vetoed for every requirement tensileStrengthXY >= 68 ... 144.7 MPa (33 thresholds). Printed PLA XY cannot exceed ~75 MPa; biaxially oriented film is 2-3x stronger than a printed bar.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C8-implied-bound-not-a-bound and D1-explore-kept-envelope-fails (M001 tensileStrengthXY); node -e ""const d=require('./dist/db.json');console.log(d.materials.find(m=>m.id==='M001').headline.tensileStrengthXY.impliedBounds)""","KNOWN: the lead has fixed film/filament implied bounds in a separate worktree; verify there. In compile.js impliedBounds(), use the same evidence filter as estimates.js snapshot(): exclude /^Film/ specimens (and retired grades). Add a test: no implied bound comes from a film specimen."
B-02,B-physics,policy,medium,Implied bounds come from specimen-not-stated values and from the top of a +/- SD interval,"49 bounds rest on ""Not published (do not assume printed)"" specimens, which on filament sheets are frequently moulded: M053 PA12-CF V001002 125 MPa (Spectrum PA12-CF15, 125 MPa / 8 GPa / 5 %, a moulded-compound profile) vetoes screens for >= 95-125 MPa although printed PA12-CF XY is 70-90 MPa (V000965 72, V000982 71.6); M045 PEBA V000839 30, V001892 32.8, V001894 32.3 MPa (GB/T 1040, ISO 37 rubber dumbbells) sit above the PEBA estimate 16.8-23.1; M049 V000919 78, M085 V001517 29, M086 V001685/V001687. 32 bounds use interval.hi: M052 PA12 V002012 elongation 30 % with SD 23 becomes a lower bound of 53 %. The code comment says moulded values are not bounds; unknown specimens are treated as printed, contradicting D35 ""do not assume printed"".","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C8-implied-bound-not-a-bound, C5-likely-range-below-implied-bound","Take implied bounds only from printed specimens (or treat ""not stated"" as moulded for bounds, as for estimates), and use the value (or interval.lo), not interval.hi. Keep the veto conservative by widening the screen instead, if needed."
B-03,B-physics,defect,high,"Z-direction rows coded as direction ""unknown"" (locator names Z)","18 rows whose locator reads ""... Z"": S-PPA-TDS p. 1 (M069 PPA) V001291, V001293, V001295, V001297, V001299, V001301; D-IPCON-PPA p. 1 (M071 PPA-GF) V001328, V001330, V001332, V001334, V001336, V001338; S-PPSGF-TDS-0 p. 1 (M074 PPS-GF) V001380, V001382, V001384, V001386, V001388, V001390. Re-read: S-PPA-TDS prints ""Tensile Strength Z ... 40 MPa"". Ambiguous X-Z labels also coded unknown: R-ERYONE-PETG-GF-TDS Part III V001973 (25.1 MPa vs XY 53.6), V001974, V001975; M034 ASA-GF V002205, V002206, V002208 (behave as upright bars). These feed B-04.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check A14-direction-in-locator-not-coded, A14b-xz-label-ambiguous",Set Direction Z on the 18 rows (migration naming the replaced value). Resolve X-Z against each sheet figure; the values (about half of XY) indicate upright bars.
B-04,B-physics,defect,high,"""Direction unstated"" conversions are learned from those Z rows and inflate XY estimates by 1.35-1.6x","meta.estimateModel fitted offsets (log): tensileStrengthXY ""ultimate unk"" +0.439 (documented +0.1; 5 of its 6 pairs are the Z rows of B-03), tensileModulusXY ""tensile unk"" +0.309 and ""flexural unk"" +0.44 (documented 0), elongationXY ""break unk"" +0.464 (documented 0), flexural strength ""flexural unk"" -0.06 vs -0.55 for XY. Physically a filament-sheet value without a direction is an XY or a moulded bar, both >= the printed XY value, so the offset should be <= 0. Inflated estimates: M049 PA6 strength V000919 78 -> 121 MPa (estimate 66.3-112), M085 PE modulus V001519 3.5 -> 4.77 GPa, M045 PEBA modulus V000841 80 -> 124 MPa and strength V000839 30 -> 46.5, M064 PA-ESD modulus V001205 6.7 -> 10.4 GPa, M076 BVOH strength V001419 34 -> 52.7, M066 PET modulus V001761 2.62 -> 4.07 GPa, M020 PETG V000414 53 -> 82.2, M037 PC-CF V000736 58 -> 89.9, M090 CPE-CF elongation 8 -> 12.7 %, M082 PP V002054 13.9 -> 21.6 (30 evidence items in all).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check (not a separate check); node -e ""const d=require('./dist/db.json');console.log(d.meta.estimateModel.properties.tensileStrengthXY.conversions)""; list pairs with the XY/unk pairing snippet in NOTES.md","Fix B-03 first. Then constrain unk (and moulded) offsets to the physically allowed sign (<= documented value), require more pairs (>= 8) before data may move a documented offset, and drop pairs whose locator names a direction."
B-05,B-physics,defect,high,PPA heat deflection headline is the annealed value; the as-printed values were not transcribed,"S-PPA-TDS p. 1 prints ""Vicat 106 °C; 133 °C (annealed)"" and ""HDT ISO 75 0.45 MPa 103 °C; 131 °C (annealed)"" (re-read with pdfjs). Data: V001289 HDT 131 and V001288 Vicat 133 with Post-processing ""Not published""; 103 and 106 are absent. M069 PPA headline hdt045 = 131 (headlines.csv M069,hdt045,V001289) passes Strict for HDT >= 104-131 °C that an as-printed part (103 °C) fails. The source also gives Tm 246 °C (V001287), low for a PPA (typically 290-325), consistent with a PA6T/6I-type copolymer.","Re-read .cache/sources/S-PPA-TDS.pdf p. 1 (pdfjs text; helper in NOTES.md). physics-check has no row for it: the PPA envelope admits annealed values, and the condition is not coded","Record V001289/V001288 as annealed, add the as-printed 103 °C and 106 °C rows, and point the PPA hdt045 headline at the as-printed value (or show the annealed one with its condition)."
B-06,B-physics,defect,medium,"Bambu sheets that state ""All the specimens were printed ... annealed and dried at X °C"" are coded ""specimen not stated / post-processing not published""","Re-read 16 cached Bambu sheets: the statement is present in B-pa6-gf-TDS, B-pet-cf-TDS, B-pc-fr-TDS, B-abs-gf-TDS, B-petg-hf-TDS, B-tpu-for-ams-TDS (70 °C 12 h), B-pla-tough-upgrade-TDS, B-pla-translucent-TDS, B-pla-sparkle-TDS (50-55 °C 8 h) and others, but their rows are ""Not published (do not assume printed)"" and/or Post-processing ""Not published"" (e.g. PET-CF V001269 HDT1.8 182, V001270 HDT0.45 205; PA6-GF V000943-V000958; TPU for AMS V000775), while the same wording on B-pa6-cf-TDS, B-PC-TDS is coded Printed/annealed. Physics consequence: M067 PET-CF headline HDT 205 °C is the 80 °C/12 h annealed (cold-crystallised, Tc 130 °C) value of a slow-crystallising PET, shown and screened as unconditioned; printed values are treated as possibly moulded (B2: 23 medium headline rows).",node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check B2-headline-condition; per-source tally snippet in NOTES.md,A source-level migration: set Specimen type Printed specimen and the Post-processing sentence on every row of a Bambu sheet that states it (one edit per source).
B-07,B-physics,defect,medium,"Heat-deflection model ignores annealing and treats slow crystallisers (PET, PPS, PPA, BVOH, PVA) as crystallised semicrystalline bars","estimates.js kindOf() has no annealed flag, so as-printed and annealed HDT of one formulation are averaged as one kind: M019 PLA-GF V000350 75.5 + V000353 114.7 (flagged conflict), M074 PPS-GF V002071 236.3 / V002072 248.9 (annealed 130/230 °C). The matrix class for PET/PPS/PPA/BVOH/PVA is semi-unfilled/semi-filled though estimate-model.json itself says they print largely amorphous: M066 PET HDT1.8 V001762 65.7 -> 96.5 °C (+30.8 semi-unfilled gap) and estimate 71.2-109 (plausible to 132) against its own Vicat 65.9 (V001763); M076 BVOH Vicat 90 (V001424) -> estimate 54.7-117 (plausible to 158). The fitted semi-filled class learns from annealed PET-CF 205 / PPS-CF 264 / PPS-GF 241, so M068 PET-GF measured 81.6 (as printed) is an outlier vs 114 expected (meta.estimateModel.outliers). PLA (also a slow crystalliser) is declared amorphous, PET semicrystalline: inconsistent.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C7-slow-crystalliser-converted-as-semicrystalline, C6-hdt-estimate-above-own-vicat, C2-ordering-estimate (M068 vs M066)","KNOWN IN PART: the lead has fixed annealed-vs-as-printed averaging in a separate worktree; the slow-crystalliser matrix class and the Vicat bound remain. Add an annealed/as-printed covariate (or kind suffix) for HDT, Vicat and Tm-based kinds; for identities that are semicrystalline but not fastCrystallising, convert as-printed values with the amorphous gap and bound by Tg + lift unless annealed; add own Vicat as a soft upper bound for unfilled matrices (HDT0.45 <= Vicat + ~10 °C)."
B-08,B-physics,defect,high,TPU heat deflection is estimated (and certified to screen) from a physically impossible source value,"M039 TPU hdt045 estimate 70.2-84.6 °C (plausible 61.2-93.6, canScreen true) from I-TPU-TDS V000765 (74 °C at 0.455 MPa) and V000766 (49 °C at 1.82 MPa) on a 95A TPU whose sheet gives tensile modulus 26 MPa (re-read). ISO 75 / ASTM D648 stop at 0.2 % outer-fibre strain, so a bar deflects at the temperature where E ~ sigma/0.002 = 225 MPa (0.45 MPa) or 900 MPa (1.8 MPa); a 26 MPa elastomer exceeds that at room temperature. estimate-model.json notApplicable.elastomerHdt exempts materials whose own sources publish an HDT; ""HDT 1.8 elastomer"" (+13.8, 1 pair) is fitted from the same sheet.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C4-estimate-where-not-applicable, A3b-hdt-on-soft-matrix","Make elastomer hdt045 not applicable unconditionally (or only where a grade modulus >= 0.25 GPa is published); give V000765/V000766 a Parse review note ""physically implausible"" and exclude them from the model; drop the ""HDT 1.8 elastomer"" conversion."
B-09,B-physics,suspect,medium,"TPU for AMS modulus 1190 MPa is inconsistent with its own 68D hardness, >650 % elongation and N/A heat deflection","M040 V000775 Tensile modulus XY 1.19 GPa and V000776 Z 0.60 GPa, SourceID B-tpu-for-ams-TDS, Locator p. 2 ""Young's Modulus (X-Y) 1190 +/- 0.4 MPa"" (transcription faithful). Qi-Joyce-Boyce for 68D gives ~208 MPa; 22.4 MPa strength / 1.19 GPa = 1.9 % linear strain for a bar that stretches >650 %; the same sheet lists HDT as N/A, which fits a low modulus, not 1.19 GPa (a 1.19 GPa bar would have an HDT at 0.45 MPa); +/- 0.4 MPa on 1190 is implausibly tight. Effects: Strict PASS for tensileModulusXY >= 1.18 GPa (a TPU among rigid candidates); the ""hardness"" conversion pair +1.75 widens its sd to 0.885; the elastomer group spread plausibly drives M086 OBC modulus estimate 0.016-1.14 GPa (plausible to 2.75 GPa) for an olefin block copolymer whose modulus is 0.01-0.1 GPa.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C2b-modulus-vs-shore, B1-headline-outside-envelope, D2-strict-pass-envelope-fails (M040)",Ask Bambu Lab / check a later sheet revision; until then quarantine or caveat V000775-V000776 and exclude them from the elastomer fit and the hardness conversion.
B-10,B-physics,policy,medium,Physically self-contradictory source values are published and screened without a caveat,"Transcriptions verified against the sheets, but physics rules them out: M035 PC V000683 HDT0.45 112 < V000682 HDT1.8 117 (B-PC-TDS p. 2; a lighter load cannot deflect earlier; PC headline hdt045 = 112), with V000678 Tm 228 °C for amorphous PC and Vicat 119 < Tg 145; V000970 (X-CarbonX-CF-PA12-TDS-v1), V001013 (X-FIBREX-PA12-GF30), V001206 (X-3DXSTAT-ESD-PA12) Tg 158 °C for PA12 (Tg 35-55 °C; a template value); M001 PLA V000008 HDT0.45 80 °C (X-ECOMAX-PLA-TDS-v3, no annealing stated, Tg 55 °C; PolySonic PLA 53 °C) is the PLA headline and passes Strict for HDT >= 67-80 °C; M073 PPS-CF V001359 264 / V001358 235 °C ""not annealed"" for a PPS with Tg 100 °C; M051 PA6-GF conditioned Z modulus V001192 2.593 > XY V001191 2.053 GPa; M035 PC Z elongation V000690 2.1 % below its Z stress/modulus 56 MPa/1.45 GPa = 3.9 %; M032 ASA Aero V000646 0.9 % < 21/1.18 = 1.8 %.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check A2-hdt045-below-hdt18, A1-outside-envelope (Tg), A3-pla-hdt-above-tg-not-annealed, A6-z-above-xy, A9-break-strain-below-linear-strain",Add these physics rules to data:lint (HDT0.45 >= HDT1.8 same grade; Tg/Tm inside identity limits; HDT <= Tg + lift for as-printed amorphous; strain at break >= stress/modulus; Z <= XY) and require an accepted reason or a Parse review note; prefer another grade as the headline where one exists.
