ID,Workstream,Class,Severity,Title,Status,Commits,Resolution,Evidence,Repro
A-01,A,defect,Medium,"Table rounds a constrained value across the requirement's threshold, so the displayed number contradicts the verdict",fixed,6518292,Digits keep a value on its own side of a threshold (fmtAgainst),"I5: 300 violations in 174,159 displayed-value checks (seed 1, 3000 scenarios), across all six numeric headlines. Examples: PC price 50.99 shows ""51"" and is PASS for price < 51 (Strict, default view); PLA Basic/PLA Matte 27.99 show ""28"" PASS for <= 27.99; PC-PBT HDT 107.4 shows ""107"" PASS for > 107.2; PLA Lite strength 53.05 shows ""53"" for > 53; PCTG modulus 1.755 shows ""1.75"" PASS for > 1.75; ASA-GF modulus 2.758 shows ""2.76"" FAIL for >= 2.76; PET-CF price 115.98 shows ""116"" FAIL for >= 116. Root cause: fmtNumber (app/js/ui/format.js:9-20) rounds 1-10 to 2 decimals, 10-100 to 1 decimal and 100-1000 to an integer (toFixed, so 1.755 becomes 1.75); renderValue (format.js:88) and the table cell (app/js/ui/table.js:178 price, :185 headlines) show that text, while compareInterval (app/js/engine/constraints.js:43) decides on the unrounded value. The requirement pill (labels.js:88, 4 decimals) never caused a crossing (I5-rounding-pill 0).","Price 'less than' 51 in the Cost group, Strict. Link: file:///Users/farid/Documents/h2c-materials-csv-source/dist/H2C_Material_Selector_2026-09-13.html#%7B%22c%22%3A%5B%7B%22kind%22%3A%22numeric%22%2C%22property%22%3A%22priceCADkg%22%2C%22operator%22%3A%22%3C%22%2C%22value%22%3A51%2C%22mandatory%22%3Atrue%7D%5D%2C%22u%22%3A%22strict%22%2C%22l%22%3A%22table%22%7D : the PC row reads PASS with price 51. More in violations.jsonl (invariant I5-rounding)."
A-02,A,defect,Medium,A scenario assumption is reported as 'Published' by the engine and drawn on the Ashby chart as a measured point that can join the Pareto front,fixed,6518292,Assumed wording; faint point; never on the front,"I6-reason-assumption: 162 violations; I4-assumption-point: 233. Root cause: applyAssumptions (app/js/engine/scenario.js:171) writes the assumed value as headline {known: true, origin: 'assumption'}; evaluateNumeric builds the reason 'Published <value> <unit>' for every known headline without checking h.assumption (app/js/engine/constraints.js:149), and that reason reaches the drawer, the exclusion list and the CSV export 'Failed' / 'Could not be checked' columns; headlinePoints (app/js/ui/ashby.js:267) plots any known headline, the front is computed over those points (ashby.js:391), and the hover template (ashby.js:470-472) has no assumption marker. The table does mark it (table.js:129 'assumed' chip, format.js v-assumed). Assumptions only arrive through a link or a loaded scenario file; the UI has no control that creates them. Confirmed in the page: BVOH with an assumed modulus of 9 GPa is a solid point at (1140, 9) and a vertex of the Pareto front.","file:///Users/farid/Documents/h2c-materials-csv-source/dist/H2C_Material_Selector_2026-09-13.html#%7B%22c%22%3A%5B%7B%22kind%22%3A%22gate%22%2C%22gate%22%3A%22scope%22%7D%5D%2C%22u%22%3A%22exploration%22%2C%22l%22%3A%22ashby%22%2C%22p%22%3A%7B%22x%22%3A%22density%22%2C%22y%22%3A%22tensileModulusXY%22%2C%22xLog%22%3Afalse%2C%22yLog%22%3Afalse%2C%22showEstimates%22%3Atrue%7D%2C%22a%22%3A%5B%7B%22materialId%22%3A%22M076%22%2C%22property%22%3A%22tensileModulusXY%22%2C%22value%22%3A9%2C%22unit%22%3A%22GPa%22%7D%5D%7D (the plot div's data: M076 at 1140, 9 and on the 'Pareto front' trace)"
A-03,A,defect,Low,"A wildcard assumption overrides a 'not applicable' headline, and an assumption without a unit prints 'undefined' in the reason",fixed,6518292,Never overrides not applicable; headline unit,"Root cause: applyAssumptions skips only known headlines (app/js/engine/scenario.js:169), so materialId '*' also replaces headlines marked notApplicable (for example HDT of an elastomer), which then pass a heat requirement in Strict; validateScenario (scenario.js:97-102) requires material, property and value but not unit, and the reason becomes 'Published 150 undefined' (constraints.js:149 uses h.unit). Seen in the fuzz: 4 of the capped examples read 'Published 3.66234 undefined'. Node and page check: {'*', hdt045, 150} makes TPU for AMS PASS hdt045 >= 100 in Strict, shown with HDT 150 and an 'assumed' chip in place of 'n/a'. Link or file only.","file:///Users/farid/Documents/h2c-materials-csv-source/dist/H2C_Material_Selector_2026-09-13.html#%7B%22c%22%3A%5B%7B%22kind%22%3A%22numeric%22%2C%22property%22%3A%22hdt045%22%2C%22operator%22%3A%22%3E%3D%22%2C%22value%22%3A100%2C%22mandatory%22%3Atrue%7D%5D%2C%22u%22%3A%22strict%22%2C%22l%22%3A%22table%22%2C%22a%22%3A%5B%7B%22materialId%22%3A%22*%22%2C%22property%22%3A%22hdt045%22%2C%22value%22%3A150%7D%5D%7D (TPU for AMS: PASS, HDT 150, assumed)"
A-04,A,defect,Medium,Every Ashby render leaks a Plotly plot and a window resize listener; the page slows and its heap grows with each filter change on the chart,fixed,534c9ca,One resize listener; heap flat over 800 renders (was 569 MB),"No Plotly.purge anywhere in app/js; drawPlot calls Plotly.newPlot(gd, ..., {responsive: true}) (app/js/ui/ashby.js:653-654) on a fresh #plot div each render, and renderAshby replaces the host with innerHTML (ashby.js:137) without purging the old one, so Plotly's window 'resize' handler keeps each detached plot alive. Measured in headless Chrome (scratch leak probe, Strict/Explore toggled on the Ashby lens, GC forced before each sample): window resize listeners 2 -> 204 -> 606 -> 1408 and JS heap 14 -> 96 -> 254 -> 569 MB after 200, 400 and 800 renders. In the fuzz, tabs that were never reloaded saw the in-app scenario load grow from about 17 ms (first 20 scenarios) to an average of 156 ms over a 3000-scenario run; the harness now reloads each tab every 40 imports (--recycle).","Open the Ashby lens, click Include uncertain / Confirmed only a few hundred times, then check getEventListeners(window).resize.length in DevTools (grows by one per render)."
A-05,A,defect,Low,"Two numeric requirements on one property (from a link or file) show as one in the filter rail; editing or clearing that control silently drops both, and the chart draws only the first threshold",fixed,6518292,Second requirement on a property left out with a warning,"I9-rail: 2096 cases in 16,812 rail checks (generator adds same-property pairs, e.g. strength >= 105.858 and <= 46.95; the rail shows only '>= 105.858'). Root cause: renderFilters finds the first constraint per property (app/js/ui/filters.js:152) while the group badge counts both (filters.js:66); upsertNumeric and the clear button drop every constraint on the property (filters.js:336, :353); the Ashby overlay uses the first mandatory one (app/js/ui/ashby.js:512). validateScenario accepts duplicates without a warning (app/js/engine/scenario.js:66-80). The engine itself evaluates both correctly (I1/I8 clean). The rail cannot create such a pair.",file:///Users/farid/Documents/h2c-materials-csv-source/dist/H2C_Material_Selector_2026-09-13.html#%7B%22c%22%3A%5B%7B%22kind%22%3A%22numeric%22%2C%22property%22%3A%22hdt045%22%2C%22operator%22%3A%22%3E%3D%22%2C%22value%22%3A80%2C%22mandatory%22%3Atrue%7D%2C%7B%22kind%22%3A%22numeric%22%2C%22property%22%3A%22hdt045%22%2C%22operator%22%3A%22%3C%3D%22%2C%22value%22%3A120%2C%22mandatory%22%3Atrue%7D%5D%2C%22u%22%3A%22strict%22%2C%22l%22%3A%22ashby%22%2C%22p%22%3A%7B%22x%22%3A%22density%22%2C%22y%22%3A%22hdt045%22%7D%7D (rail: one HDT control at 80; badge 2; one threshold line)
A-06,A,note,Low,"Link and file scenarios accept requirement shapes the rail cannot produce, and they are applied without a warning",fixed,6518292,Unevaluable requirements left out with a warning,"Generated at 3% (unknown property 'notAHeadline', unknown gate 'warp', h2cStatus or reinforcement with an empty 'in' list, thresholds 0, -1, 1e9, 1e-9): no page error, no bad token, and page and engine agree. But validateScenario (app/js/engine/scenario.js:69-80) checks only types, so an unknown property makes every material UNKNOWN 'Not published in the sampled sources' (constraints.js:130-137), an unknown gate reports 'No print profile recorded' (constraints.js:263-265), and an empty 'in' list FAILs every material. A typo in a hand-edited link reads as a data gap.","Any link with {""kind"":""numeric"",""property"":""notAHeadline"",...} or {""kind"":""gate"",""gate"":""warp""}."
A-07,A,note,Low,No hashchange handling: a different scenario link opened in an already-open tab does not change the view until a reload,fixed,6518292,hashchange applies a pasted link,"grep: no 'hashchange' listener in app/js; main.js reads location.hash once at start-up (app/js/main.js:634). A navigation that changes only the fragment does not reload the page, so pasting another shared link into the same tab's address bar leaves the old selection on screen. For the harness this meant a full page load per scenario: about 360 ms on one tab, 540-890 ms each with 6-10 parallel tabs, against 17-210 ms through the in-app 'Load a saved scenario' path, which the harness uses for 80% of scenarios instead.","Open any shared link, then edit the fragment in the address bar and press Enter: nothing changes."
A-08,A,note,Info,"Page and engine agree on every other invariant over 3000 scenarios (26,198 readings, 3.35 M checks)",note,,No disagreement between page and engine,"Zero violations for: I1 table material set, verdict chips, screened chips and the search-excluded group; I2 count text, status chips and the results header; I3 Strict identical with the estimates switch on and off, no estimate marks in Strict or with estimates off; I4 plotted points, coordinates, hover verdicts, envelopes, Pareto front (eligible only), legend counts, estimate sentences and axis-picker counts; I6 page exceptions, dialogs, NaN/undefined/null/[object Object] in the lens, empty reasons; I7 164 link round trips; I8 Strict within Explore+estimates within Explore without, and 1,434 added-mandatory-requirement pairs. The harness was checked against itself by mutating the oracle (FZ_MUTATE=rows / value): the row, count, point, coordinate and front checks all fire.",node docs/audits/2026-09-15-filtering-estimates-data/ui-fuzz/ui-fuzz.mjs --n 3000 --seed 1 --tabs 10
B-01,B-physics,defect,high,"Implied lower bounds include ASTM D882 film strengths, so PLA is never screened for tensile strength up to 144.7 MPa",fixed,c50a00e,Film and filament never bound a printed headline,"build/src/compile.js impliedBounds() filters out only ""Raw material"" specimens. M001 PLA carries V000039 (110.3 MPa, film MD) and V002179 (144.7 MPa, film TD), I-PLA-TDS p. 1, Specimen type ""Film specimen (ASTM D882)"". estimates.js excludes /^Film/ from the model, but the engine veto still reads them: PLA estimate 48.8-65.2 MPa (plausible 46.9-67.8) is vetoed for every requirement tensileStrengthXY >= 68 ... 144.7 MPa (33 thresholds). Printed PLA XY cannot exceed ~75 MPa; biaxially oriented film is 2-3x stronger than a printed bar.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C8-implied-bound-not-a-bound and D1-explore-kept-envelope-fails (M001 tensileStrengthXY); node -e ""const d=require('./dist/db.json');console.log(d.materials.find(m=>m.id==='M001').headline.tensileStrengthXY.impliedBounds)"""
B-02,B-physics,policy,medium,Implied bounds come from specimen-not-stated values and from the top of a +/- SD interval,fixed,7bc880d,Bounds from printed specimens at the published value,"49 bounds rest on ""Not published (do not assume printed)"" specimens, which on filament sheets are frequently moulded: M053 PA12-CF V001002 125 MPa (Spectrum PA12-CF15, 125 MPa / 8 GPa / 5 %, a moulded-compound profile) vetoes screens for >= 95-125 MPa although printed PA12-CF XY is 70-90 MPa (V000965 72, V000982 71.6); M045 PEBA V000839 30, V001892 32.8, V001894 32.3 MPa (GB/T 1040, ISO 37 rubber dumbbells) sit above the PEBA estimate 16.8-23.1; M049 V000919 78, M085 V001517 29, M086 V001685/V001687. 32 bounds use interval.hi: M052 PA12 V002012 elongation 30 % with SD 23 becomes a lower bound of 53 %. The code comment says moulded values are not bounds; unknown specimens are treated as printed, contradicting D35 ""do not assume printed"".","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C8-implied-bound-not-a-bound, C5-likely-range-below-implied-bound"
