Batch,MeasurementID,SourceID,Property,Verdict,Note,By,Resolution
b03-3dxtech,V003285,X-ECOMAX-FIBREX-GF-ABS-TDS-v1,Glass transition temperature,disagrees: standard,"Value 105 C is right, but Standards and Standard / load both read ""Not published"". The sheet names the method in its Standard column: the label wraps, and the value line itself is ""DSC C 105"" under the heading ""Glass Transition Temperature ... (Tg)"". The repo vocabulary has DSC for exactly this (""Differential scanning calorimetry, where the source names the method but no standard"") and the Melt Temperature rows of the same maker record it (V003277, V003237). The Tg rows dropped it where the label wrapped across three lines.",claude-second-read,corrected: the row now records DSC
b03-3dxtech,V003204,X-ECOMAX-CarbonX-CF-Ultem-TDS-v3,HDT,disagrees: condition,"Value 205 C and ISO 75 are right, but the row records Test temperature ""0.45C"". The sheet prints ""Deflection Temperature at 0.45 MPa (66psi) | ISO 75 | C | 205"": 0.45 MPa is the flexural load, not a temperature, and the sheet publishes no test temperature. Test load MPa=0.45 already carries the load; Standard / load reads ""0.45 C ISO 75"", which is the same confusion.",claude-second-read,corrected by m104
b03-3dxtech,V003383,X-ECOMAX-CarbonX-CF-PC-ABS-TDS-v1-1,Glass transition temperature,disagrees: standard,"Value 137 C is right, but Standards and Standard / load both read ""Not published"". The sheet names the method in its Standard column: the label wraps, and the value line itself is ""DSC C 137"" under the heading ""Glass Transition Temperature ... (Tg)"". The repo vocabulary has DSC for exactly this (""Differential scanning calorimetry, where the source names the method but no standard"") and the Melt Temperature rows of the same maker record it (V003277, V003237). The Tg rows dropped it where the label wrapped across three lines.",claude-second-read,corrected: the row now records DSC
b03-3dxtech,V003172,X-ECOMAX-FIBREX-GF30-ULTEM-PEI-v1,HDT,disagrees: condition,"Value 212 C and ISO 75 are right, but the row records Test temperature ""0.45C"". The sheet prints ""Deflection Temperature at 0.45 MPa (66psi) | ISO 75 | C | 212"": 0.45 MPa is the flexural load, not a temperature, and the sheet publishes no test temperature. Test load MPa=0.45 already carries the load; Standard / load reads ""0.45 C ISO 75"", which is the same confusion.",claude-second-read,corrected by m104
b03-3dxtech,V003260,X-ECOMAX-Thermax-TPI-TDS-TDS-v1,Glass transition temperature,disagrees: standard,"Value 247 C is right, but Standards and Standard / load both read ""Not published"". The sheet names the method in its Standard column: the label wraps, and the value line itself is ""DSC C 247"" under the heading ""Glass Transition Temperature ... (Tg)"". The repo vocabulary has DSC for exactly this (""Differential scanning calorimetry, where the source names the method but no standard"") and the Melt Temperature rows of the same maker record it (V003277, V003237). The Tg rows dropped it where the label wrapped across three lines.",claude-second-read,corrected: the row now records DSC
b03-3dxtech,V003188,X-ECOMAX-ezPC-TDS-v01,HDT,disagrees: condition,"Value 112 C and ISO 75 are right, but the row records Test temperature ""0.45C"". The sheet prints ""Deflection Temperature at 0.45 MPa (66psi) | ISO 75 | C | 112"": 0.45 MPa is the flexural load, not a temperature, and the sheet publishes no test temperature. Test load MPa=0.45 already carries the load; Standard / load reads ""0.45 C ISO 75"", which is the same confusion.",claude-second-read,corrected by m104
b04-polymaker,V003389,S-POLYCN-PolyLite-PLA-TDS-V5-1-7,Melting temperature,disagrees: standard,"Value 150 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its TESTING METHOD column on that row: ""Melting temperature DSC, 10°C/min 150 °C"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 43 Polymaker rows in the table carry it, so the same sheets were read both ways.",claude-second-read,corrected: the row now records DSC
b04-polymaker,V003623,S-POLYCN-TDS-Polymaker-PC-ABS-V5-5-2025-12-10-EN,Glass transition temperature,disagrees: standard,"Value 109 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its TESTING METHOD column on that row: ""Glass transition temp. DSC, 10°C/min 109°C"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 43 Polymaker rows in the table carry it, so the same sheets were read both ways.",claude-second-read,corrected: the row now records DSC
b04-polymaker,V003766,S-POLYCN-PolyMide-CoPA-PIS-EN,Crystallization temperature,disagrees: standard,"Value 128 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its TESTING METHOD column on that row: ""Crystallization temperature DSC, 10 °C/min 128 (°C)"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 43 Polymaker rows in the table carry it, so the same sheets were read both ways.",claude-second-read,corrected: the row now records DSC
b04-polymaker,V003861,S-POLYCN-TDS-PolyTerra-PLA-V6-0-2026-06-08-EN,Tensile strength (endpoint unspecified),disagrees: standard,"Value 23.2 ± 0.5 MPa and Direction X-Y is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 527 for it: ""Tensile strength (X-Y) 23.2 ± 0.5 MPa / ISO 527, GB/T 1040 / Tensile strength (Z) 12.2 ± 0.7 MPa"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,corrected: the row now records ISO 527; GB/T 1040
