PolymerEnvironmentID,PolymerID,Category,Agent,Conditions,Verdict,Finding,SourceID,Locator,Notes
PB00001,PLA,organic-solvent,Chloroform,"10 % wt/vol mixture, shaken at 175 rpm at room temperature; some samples stirred at 65 °C",not-resistant,"Of the solvents studied, chloroform is the best solvent for quickly preparing 10 % wt/vol solutions of all Ingeo grades and morphologies; 4032D pellets and injection-moulded bars were readily transformed to 10 % wt/vol solutions in chloroform in 2-4 hours at room temperature",R-NATUREWORKS-INGEO-SOLUBILITY,p. 2 Results (4032D); p. 3 Conclusions,"Study grades: 4060D (12 % D, amorphous), 2003D (4.5 % D) and 4032D (1.6 % D, crystallisable) as pellets and injection-moulded bars; no filament grade was tested. A printed part is largely amorphous, so the amorphous-bar results are the nearer case. The reference reports dissolution; the verdict word ""soluble"" is reserved for water, so dissolution in an organic solvent is recorded as not-resistant."
PB00002,PLA,organic-solvent,Tetrahydrofuran (THF),"10 % wt/vol mixture, shaken at 175 rpm at room temperature; some samples stirred at 65 °C",not-resistant,"4060D fully dissolved at room temperature; the amorphous injection-moulded 2003D bar reached an 8.5 % wt/vol solution in THF at room temperature (crystalline 2003D pellets 0.8 %); 4032D at 65 °C reached 9.31 wt% (pellets, 1 day) and 6.58 wt% (bar, 1 day) total lactic acid equivalents, Table 3",R-NATUREWORKS-INGEO-SOLUBILITY,p. 2 Figure 1; p. 3 Table 3 and 2003D paragraph,"Study grades: 4060D (12 % D, amorphous), 2003D (4.5 % D) and 4032D (1.6 % D, crystallisable) as pellets and injection-moulded bars; no filament grade was tested. A printed part is largely amorphous, so the amorphous-bar results are the nearer case. The reference reports dissolution; the verdict word ""soluble"" is reserved for water, so dissolution in an organic solvent is recorded as not-resistant."
PB00003,PLA,organic-solvent,Acetone,"10 % wt/vol mixture, shaken at 175 rpm at room temperature; some samples stirred at 65 °C",limited,"4060D fully dissolved at room temperature. For 4032D none of the solvents other than chloroform dissolved significant quantities at room temperature (all solutions < 1 wt% total acid equivalents up to 10 days), but the low-crystallinity bars turned from clear to cloudy, indicating that the material crystallised as a consequence of solvent plasticisation; at 65 °C acetone gave 0.29 wt% (pellets) and 0.86 wt% (bar), Table 3",R-NATUREWORKS-INGEO-SOLUBILITY,p. 2 Results; p. 3 Table 3,"Study grades: 4060D (12 % D, amorphous), 2003D (4.5 % D) and 4032D (1.6 % D, crystallisable) as pellets and injection-moulded bars; no filament grade was tested. A printed part is largely amorphous, so the amorphous-bar results are the nearer case. The reference reports dissolution; the verdict word ""soluble"" is reserved for water, so dissolution in an organic solvent is recorded as not-resistant."
PB00004,PLA,organic-solvent,Toluene,"10 % wt/vol mixture, shaken at 175 rpm at room temperature; some samples stirred at 65 °C",limited,"4060D dissolves fully at room temperature, with the slowest dissolution of the solvents tested. For 4032D toluene gave 0.08 wt% (pellets) and 0.06 wt% (bar) total lactic acid equivalents at 65 °C, Table 3; solvent plasticisation and crystallisation were observed during attempted dissolution",R-NATUREWORKS-INGEO-SOLUBILITY,p. 2 Figure 1 paragraph; p. 3 Table 3,"Study grades: 4060D (12 % D, amorphous), 2003D (4.5 % D) and 4032D (1.6 % D, crystallisable) as pellets and injection-moulded bars; no filament grade was tested. A printed part is largely amorphous, so the amorphous-bar results are the nearer case. The reference reports dissolution; the verdict word ""soluble"" is reserved for water, so dissolution in an organic solvent is recorded as not-resistant."
PB00005,PLA,flammability,Combustibility (burning behaviour),Not stated,not-resistant,Ingeo biopolymers will burn. Clear to white smoke is produced when product burns. Toxic fumes are released under conditions of incomplete combustion.,R-NATUREWORKS-INGEO-SOLUBILITY,"p. 4 Safety and Handling Considerations, Combustibility","No UL 94 rating is stated. Verdict convention used in this table: burns / UL 94 HB = not-resistant, V-1 or V-2 = limited, V-0 = resistant."
PB00006,PLA,moisture,Moisture content before melt processing,In-line drying before extrusion,absorbs,In-line drying is required. A moisture content of less than 0.025 % (250 ppm) is recommended to prevent viscosity degradation. Typical drying conditions are 4 hours at 80 °C (175 °F) to a dew point of -40 °C (-40 °F).,R-NATUREWORKS-INGEO-3D850-TDS,p. 2 Drying,"A processing threshold (hydrolytic loss of melt viscosity), not an equilibrium water uptake; the percentage in the finding is the recommended maximum before melting."
PB00007,PETG,acid,"Sulfuric acid, 30%","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Sulfuric acid, 30%","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00008,PETG,acid,"Sulfuric acid, conc.","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",not-resistant,Completely deteriorated after 1 week,R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Sulfuric acid, conc.","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00009,PETG,acid,"Hydrochloric acid, conc.","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",limited,"Weight change 1 %, thickness change < 1 %, badly discolored, blisters under surface",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Hydrochloric acid, conc.","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00010,PETG,acid,"Nitric acid, 10%","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, slight yellowing (Nitric acid, conc.: completely deteriorated after 1 week)",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Nitric acid, 10% and Nitric acid, conc.","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00011,PETG,alkali,"Sodium hydroxide, 1%","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Sodium hydroxide, 1%","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
