Headline,MaterialID,Material,Status,Headline grade,Formulation key,Other active formulations,This-material case,Kinds from a second formulation,What would add a case
density,M001,PLA,Officially listed family,G001-01,X-ECOMAX-PLA-TDS-v3,2,yes,density,Not applicable
density,M002,PLA Basic,Official Bambu product,G002-01,B-pla-basic-filament-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M003,PLA Matte,Official Bambu product,G003-01,B-pla-matte-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M004,PLA Lite,Theoretical,G004-01,R-ESUN-PLA-LITE-PAGE,0,no,Not applicable,single formulation; needs a density of a second product
density,M005,PLA Basic Gradient,Official Bambu product,G005-01,B-pla-basic-gradient-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M006,PLA Tough+,Official Bambu product,G006-01,B-pla-tough-upgrade-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M007,PLA Translucent,Official Bambu product,G007-01,B-pla-translucent-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M008,PLA Silk,Theoretical,G008-01,R-POLYMAKER-PANCHROMA-TDS-V2-1#Silk,1,yes,density,Not applicable
density,M009,PLA Silk+,Official Bambu product,G009-01,B-pla-silk-upgrade-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M010,PLA Silk Dual Color,Official Bambu product,G010-01,B-pla-silk-dual-color-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M011,PLA Metal,Official Bambu product,G011-01,B-pla-metal-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M012,PLA Marble,Official Bambu product,G012-01,B-pla-marble-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M013,PLA Sparkle,Official Bambu product,G013-01,B-pla-sparkle-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M014,PLA Wood,Official Bambu product,G014-01,B-pla-wood-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M015,PLA Galaxy,Official Bambu product,G015-01,B-pla-galaxy-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M016,PLA Glow,Official Bambu product,G016-01,B-pla-glow-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M017,PLA Aero,Official Bambu product,G017-01,B-pla-aero-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M018,PLA-CF,Official Bambu product,G018-01,B-pla-cf-TDS,0,no,Not applicable,single formulation; needs a density of a second product
density,M019,PLA-GF,Officially listed family,G019-01,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,1,yes,density,Not applicable
density,M020,PETG,Officially listed family,G020-01,X-3DXPRO-LG-PETG-TDS-v3,2,yes,density,Not applicable
