ID,Workstream,Class,Severity,Title,Evidence,Repro,SuggestedFix
"C-01","C-pipeline","defect","High","Estimates average as-printed and annealed values of one formulation as repeats","build/src/estimates.js:201-231 kindOf ignores postProcessing; estimates.js:264 groups by material|formulation|kind and averages ys. G019-01 PLA-GF HDT 0.45: V000350 75.5 (headline) + V000353 114.7 annealed -> one observation 95.1; HDT 1.8 V000349 59.7 + V000352 84 -> 71.85. G068-02 PET-GF HDT 0.45: V001931 81.6 (headline) + V001933 133.7 -> 107.65; HDT 1.8 V001930/V001932. G074-02 PPS-GF: anneal 130 vs 230 C V002071 236.3/V002072 248.9 and V001392 125.8/V002073 219.6 -> 172.7. Consequences in build/reports/validation-report.md: EST-OUTLIER PET-GF hdt045 81.6 expected about 114; conflicts down-weighted for PLA-GF, PET-GF, PPS-GF; the mixed pairs also feed the HDT 1.8->0.45 conversion and the unstated-load bracket back-test (estimates.js:316-320, 648-662). M019 mechanical P/A rows are averaged too (small differences).","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/anneal-groups.mjs","Give Post-processing a declared state as Moisture condition has one (schema/vocab/post-processing.csv: as-printed | annealed | not-stated, or a typed column), add it to kindOf ("" annealed"" kind with a documented offset for hdt045, or excluded from hdt045), and include it in the group key. Add a test pinning PET-GF and PLA-GF observation values."
"C-02","C-pipeline","defect","High","Film specimen values veto estimate screens: PLA stays a candidate for tensile strength >= 140 MPa","build/src/compile.js:402-411 impliedBounds excludes only Raw material specimens; app/js/engine/constraints.js:107 lets any bound meeting the requirement veto the screen. M001 PLA tensileStrengthXY bounds include V000039 110.3 MPa and V002179 144.7 MPa, both ""Film specimen (ASTM D882)"" (estimates.js:176 already excludes film from the model). Engine result: >=70, >=100 and >=140 MPa are not screened (vetoedBy V000039/V002179) although the estimate is 46.9-67.8 MPa plausible. Also V001700 PVB Filament specimen tensile yield bounds M093. No moisture or post-processing filter: a conditioned PA elongation (V001039 216.5 vs dry 9.9) or an annealed HDT at 1.8 MPa (V001932 87.3 vs as-printed 0.45 MPa 81.6) would bound a dry or as-printed headline from below. The same film rows appear in related.intervals (compile.js:456) and get no film reason in related.why (compile.js:428-435).","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/engine-veto.mjs && node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/implied-bounds.mjs","In impliedBounds require a printed or unspecified specimen (exclude /^Film/ and Filament), a dry or not-stated moisture state for elongation (conditioning raises PA strain), and not annealed for HDT; add film to the related.why chain. Add a constraints/database test: no bound from a film, filament, conditioned-elongation or annealed-HDT row."
"C-03","C-pipeline","policy","Medium","Estimates merge source-label and XZ directions into XY that compile refuses to call XY","build/src/estimates.js:194 DIRECTION_CLASS maps XZ, horizontal-source-label and along-flow to XY (no conversion, no extra spread) and vertical-xz-source-label to Z; build/src/normalize/direction.js:1-3 and Method say a source label ""never merges into XY"". M093 PVB tensileModulusXY is not published (compile keeps V001705 ""Horizontal (source label)"" out), yet its estimate is strength this-grade, precision good, centre 1.76 GPa, canScreen true, built from V001705/V001706. Plain XZ (on-edge, loaded in plane) is XY-like, but ""Vertical XZ (source label)"" is sent to Z: the two XZ spellings get opposite classes.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/mapper.mjs (see Direction rows in mapper-table.csv); node -e ""const db=require('./dist/db.json');console.log(db.materials.find(m=>m.id==='M093').headline.tensileModulusXY.estimate.evidence)""","Give source-label directions their own kinds (e.g. ""tensile label"") with a documented conversion and spread in estimate-model.json, or class them unk; decide and document XZ once (DECISIONS), and make vertical-xz-source-label consistent with it."
"C-04","C-pipeline","policy","Medium","A published mean with a +/- band never passes: 128 of 362 headlines are hard intervals in the engine","build/src/normalize/values.js:74-76 turns value +/- uncertainty into {lo,hi,kind:uncertainty}; app/js/engine/constraints.js:43-70 and 140-147 compare lo/hi as hard bounds. M002 PLA Basic tensileStrengthXY 35 +/- 4 MPa is INDETERMINATE for >=33 (mean above threshold) and for >=36. 128 headlines carry an uncertainty interval (Bambu, Polymaker, Fiberlogy sheets), mostly a specimen standard deviation, not a tolerance. The estimate model reads the same half-width as observation noise (estimates.js:281), and impliedBounds reads its top as a bound (compile.js:410, e.g. V002012 30 +/- 23 % becomes 53 %). One number, three meanings.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/engine-veto.mjs","Record what the band is (SD, tolerance, range) or decide one policy in DECISIONS: e.g. judge a measured headline on its value and show the band as a caveat, or treat SD bands as INDETERMINATE only within k*SD. Keep impliedBounds on the value, not value+uncertainty."
"C-05","C-pipeline","defect","Medium","Headline selection is not checked for moisture, specimen, post-processing or load","build/src/compile.js:295-302 HEADLINE-SELECTION-INVALID checks material, grade, property, unit and direction only. validate.js:219-226 backstops the load (HDT-LOAD-WRONG) and test/database.test.js:468 the moulded case, but nothing refuses a conditioned (moistureState conditioned), film, filament or annealed-when-as-printed-exists selection. Today every headline passes these checks (repro prints only annealed Bambu boilerplate, 6 unstated loads and >-operator bounds), so this is latent; AGENTS.md ""Make a measurement a headline"" relies on the build to say which rule fails.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/headlines.mjs","Extend the compile check: refuse Specimen type Raw material, Film or Filament; refuse moistureState conditioned; for a headline with Load MPa refuse a stated different load at compile time; once C-01 adds a post-processing state, refuse annealed where the same grade and source publish as-printed. Document the new reasons in rules.js."
"C-06","C-pipeline","defect","Low","Direction ""45/45"" is a vocabulary value with no mapping and falls through to unknown silently","schema/vocab/directions.csv:2 lists 45/45; build/src/normalize/direction.js:17-27 MAP has no entry, so normalizeDirection returns {canonical: unknown, mapped: false} and nothing reads mapped. Six rows V001863 V001866 V001869 V001872 V001875 V001878 (M073 PPS-CF, R-ESSENTIUM-PPSCF-TDS) are compiled as unknown and the drawer note (compile.js:380) says ""direction not stated by the source"", which is false.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/directions.mjs","Add a canonical value (e.g. raster-45) with its own STRICT_EQUIVALENCE and DIRECTION_NOTE; add a test that every schema/vocab/directions.csv value is mapped (mapped === true), so a new vocabulary value cannot fall through."
"C-07","C-pipeline","defect","Low","19 mechanical rows use Direction ""Not applicable"", which the no-direction lint does not see","build/src/lint-rules.js:96 flags only Direction ""Not published""; vocab says Not applicable is for density and thermal transitions. Rows: V002078 V002085 V002170 V002171 V002172 V002173 V002179 V002180 V002181 V002182 V002183 V002190 V002191 V002203 V002204 V002207 V002219 V002220 V002221 (migrations m11 and m16). V002203, V002204 and V002207 locators read ""(X-Y)"", so they are probably XY. V001994 Notes still says the flexural rows ""were not entered"", but m16 added them as V002203-V002206.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/directions.mjs","Lint mechanical properties with Direction Not applicable (a new code or widen MEAS-PRINTED-NO-DIRECTION to any specimen type); correct the 19 rows after a re-read (XY where the locator says X-Y, Not published otherwise); update the V001994 note."
"C-08","C-pipeline","defect","Low","HDT load parser: both loads resolve to 0.45 silently, psi and kgf/cm2 are ignored, ISO 75 Af/Bf unread","build/src/normalize/thermal.js:19-22 and 37-39: the first matching class wins, so ""ASTM D648 1.8MPa/0.45MPa"" and ""ISO 75, 1.8 & 0.45 MPa"" read as 0.45; ""ASTM D648, 264 psi"", ""66 psi"" and ""18.6 kg/cm2"" read as load not stated; ""ISO 75-2/Af"" and ""Bf"" (flatwise) are not recognised; the unit-less pattern matches inside ""ISO 10.45"". No current row is wrong: all 195 HDT rows have Test load MPa equal to the parser reading (mapper-table.csv). V002188/V002189 print ""ISO 75: Method A (0.45 MPa)"" and ""Method B (1.80 MPa)"" with the letters inverted; the number wins, values are Not published. Because PARSE-MISMATCH compares the typed value with this parser, a wrong parse and a scaffolded typed value would agree.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/parser-cases.mjs && node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/hdt.mjs","Return loadMPa null with an ambiguity flag when both classes match; add 66/264 psi and 4.6/18.6 kgf/cm2 patterns, Af/Bf/Ae letters, and a leading word boundary on the unit-less number; warn when a method letter contradicts the number."
"C-09","C-pipeline","suspect","Low","Estimate calibration is mildly optimistic: spreads, conversions and conflict weights see the hidden headline","build/src/estimates.js:571-592 fits conversions (pairs include each headline), the between-product spread fixedW, the empirical-Bayes hyperparameters and the 3.5-sigma conflict down-weighting on all observations; calibration (596-606) and the screening back-test (668-690) then hide only the headline observations by a GP downdate. The downdate itself is exact and the hide set is right for current data: every value headline has kind equal to HEAD (no conditioned, moulded or non-ultimate headline), and no formulation is duplicated across materials (checked by sourceId/property/value). Determinism: no Math.random, Date or unordered iteration in estimates/compile.","grep -n ""const conv = conversions\|hyperparameters(key\|Calibration: hide"" build/src/estimates.js","Document the approximation in DATA-MODEL Estimates, or refit conversions per held-out formulation for the this-grade class (the only class where the hidden headline also calibrates its own conversion pair)."
"C-10","C-pipeline","policy","Medium","Record-level estimate findings are warnings, so a new one never fails verify","build/src/rules.js EST-OUTLIER, EST-WIDE, EST-FAMILY-ORDER and HDT-LOAD-UNSTATED are warn; validate.js:228,294,304,319 aggregate them into one message each. AGENTS.md requires a lint finding to be fixed or accepted with a reason; these per-record findings bypass that, so a fifth outlier or a seventh unstated load reaches dist with no review. Of the 8 current warnings: IMPACT-UNITS (informational, correct), HDT-LOAD-UNSTATED (6: M004 M097 M098 M099 M100 M102, should be per-record accepted findings), EST-SUMMARY and FAMILY-ENTRIES (informational, not warnings), EST-OUTLIER (4: PET-GF is an artefact of C-01; OBC V001683, PPA-CF V001310, PC-ABS V001550 need review), EST-WIDE (14, acceptable with reasons), EST-FAMILY-ORDER (PLA-CF 2.79 < PLA 2.865: different manufacturers, accept), NO-MEASUREMENTS (PA66-CF, PA612-GF, informational).","sed -n ""/## Warnings/,$p"" build/reports/validation-report.md","Emit per-record EST-OUTLIER, EST-WIDE, EST-FAMILY-ORDER and HDT-LOAD-UNSTATED as lint findings keyed by record (accepted-findings.csv), and give informational summaries an info level that does not count as a warning."
