MaterialID,Original name,Family,H2C status,Representative grade,Best uses,Limitations,Full name,Scope,Abbreviation,Base polymer,Estimate identity,Modifier / filler,Variant class,Role,Identity notes
M001,PLA,PLA,Officially listed family,G001-01,Detailed display models and early prototypes; low-load indoor parts.,Not published,Polylactic Acid,H2C-relevant,PLA,PLA,PLA,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M002,PLA Basic,PLA,Official Bambu product,G002-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Basic,H2C-relevant,PLA Basic,PLA,PLA,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M003,PLA Matte,PLA,Official Bambu product,G003-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Matte,H2C-relevant,PLA Matte,PLA,PLA,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M004,PLA Lite,PLA,Theoretical,G004-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Exact official TDS not located. Search lead PLA Pure is a different product and was rejected.,Polylactic Acid - Lite,H2C-relevant,PLA Lite,PLA,PLA,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,eSUN PLA-Lite recorded 2026-09-13 as a technical grade sample for this generic entry. The earlier PLA Pure lead remains rejected; no Bambu product is implied.
M005,PLA Basic Gradient,PLA,Official Bambu product,G005-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Basic Gradient,H2C-relevant,PLA Basic Gradient,PLA,PLA,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M006,PLA Tough+,PLA,Official Bambu product,G006-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Tough+,H2C-relevant,PLA Tough+,PLA,PLA,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M007,PLA Translucent,PLA,Official Bambu product,G007-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Translucent,H2C-relevant,PLA Translucent,PLA,PLA,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M008,PLA Silk,PLA,Theoretical,G008-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Original product retained; current Silk+ is not substituted.,Polylactic Acid - Silk,H2C-relevant,PLA Silk,PLA,PLA,Commercial variant / undisclosed,silk,Structural / functional / appearance,"Polymaker Panchroma Silk PLA recorded 2026-09-13 as a technical grade sample of a silk-effect PLA. It is not the original product, and Bambu PLA Silk+ is still not substituted."
M009,PLA Silk+,PLA,Official Bambu product,G009-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Silk+,H2C-relevant,PLA Silk+,PLA,PLA,Commercial variant / undisclosed,silk,Structural / functional / appearance,Not applicable
M010,PLA Silk Dual Color,PLA,Official Bambu product,G010-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Current Bambu page redirects to PLA Silk Multi-Color. Original identity retained.,Polylactic Acid - Silk Dual Color,H2C-relevant,PLA Silk Dual Color,PLA,PLA,Commercial variant / undisclosed,silk,Structural / functional / appearance,Current Bambu page redirects to PLA Silk Multi-Color. Original identity retained.
M011,PLA Metal,PLA,Official Bambu product,G011-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Metal-Effect,H2C-relevant,PLA Metal,PLA,PLA,Commercial variant / undisclosed,particle-filled,Structural / functional / appearance,Not applicable
M012,PLA Marble,PLA,Official Bambu product,G012-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Marble-Effect,H2C-relevant,PLA Marble,PLA,PLA,Commercial variant / undisclosed,particle-filled,Structural / functional / appearance,Not applicable
