Verdict,Note,measurementid,material,manufacturer,grade,property,value,unit,median,z,group_grades,direction,specimen_form,sourceid,locator,SHA256,URL
wrong-condition,"Prints ""Bending Modulus (X-Y) 4500~4600 ISO 527 Mpa""; value right, but p. 2 ""Testing Specimen Printing Conditions"" (Guider 3 Ultra, 100% infill) makes it printed, not recorded.",V005255,PET-GF,Flashforge,PET-GF,Flexural modulus,4.5,GPa,3.6503,1790.9,3,XY,unstated,D-FLASH-PET-GF-TDS-EN,p. 1: Bending Modulus (X-Y) ISO 527 Mpa,42ce708596453e8e4d792a91c549d3234a69be4da97a488384f167199c05d0df,https://after-support.flashforge.jp/uploads/datasheet/tds/PET_GF_TDS_EN.pdf
variant,"Prints ""Elongation at break Tensile, ISO 527-1A 418 %"" (3D printed) beside Young's modulus 442 MPa and tensile 19,5 MPa: ""PET Flex Max"" is a flexible grade; the grade's Variant is Not applicable.",V005814,PET,colorFabb,PET Flex Max,Elongation at break,418,%,8.6,172.6,3,Unstated,printed,R-COLORFABB-TDS-PET-FLEX-MAX,"p. 1: Elongation at break Tensile, ISO 527-1A",5e0b06d8afee556c2a7fcdf272849911a5035d236fdb58f089691ce676c0a0d4,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/Co-Polyester/PET/TDS_PET-FLEX-MAX.pdf
real,"Prints ""Elongation at break 103 % ISO 527 50 mm/min"" beside tensile modulus 500 MPa and Tm 160 °C: consistent with a soft copolyamide, not a typical PA12-CF; filing under PA12-CF may be wrong.",V010095,PA12-CF,Fillamentum,Nylon CF15 Carbon,Elongation at break,103,%,5,132.2,6,Unstated,unstated,R-FILLAMENTUM-Technical-Data-Sheet-Nylon-CF15-Carbon-03012019,p. 1: Elongation at break,4cff0dfc0c42e48525cc97595a7285f92ca4037aa1f4b489bf24a24e3e5c8074,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_Nylon-CF15-Carbon_03012019.pdf
real,"Prints ""Melt Flow Rate ISO1133 190℃/2.16kg g/10min 15.6""; a credible MFR for a PVB at 190 °C/2.16 kg.",V008371,PVB,SUNLU,PVB,Melt mass-flow rate,15.6,g/10 min,6.65,120.7,5,Not applicable,unstated,R-SUNLU-PVB-TDS,p. 1: Melt Flow Rate ISO1133 190℃/2.16kg g/10min,6622dff0d6b9f85343f2bf6e4370c7b5ae0c2e78581876c24f81c3a54ae006e8,https://3d.nice-cdn.com/upload/file/PVB-TDS.pdf
real,"Prints ""Deflection Temperature at 0.45 MPa (66psi) ISO 75 °C 78""; credible for a CF-ABS whose Tg is printed as 105 °C.",V002175,ABS-CF,iSANMATE,CF ABS,HDT,78,°C,94.9,-114,5,Not applicable,unstated,I-CF-ABS-TDS,p. 1: Deflection Temperature at 0.45 MPa (66psi),ea1795df0a5516f6b7ff66d0d1286f2956ebd0a1a099593e87fa8208f83e2921,https://www.isanmate.com/wp-content/uploads/2022/09/CF-ABS_TDS.pdf
wrong-property,"""Melt temperature °C 330"" is in the Processing block (Zone 1-3, Nozzle 320-340): an extrusion melt temperature setting, not the polymer's melting point.",V007166,PPS-CF,LEHVOSS,LUVOCOM 3F PPS CF 9938 BK,Melting temperature,330,°C,280,112.4,3,Not applicable,unstated,R-3D4MAKERS-TDS-pps-cf-9938-bk-filament-en-iso,p. 2: Melt temperature °C,a17d96e9e9e5b77453f191dbd59a4ad0e964a472a9c28a27be627edd91dfb31a,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_pps-cf-9938-bk-filament_en_iso.pdf?v=1622387081
wrong-condition,"Prints ""Bending modulus 2mm/min GB/T 9341 MPa 2987.7"" under ""Mechanical Properties of Printed Samples"" (""All splines are printed"", 100% fill); value right, printed specimen not recorded.",V005093,PLA Glow,Eryone,Glow in the dark PLA,Flexural modulus,2.9877,GPa,2.155,112.3,3,Unstated,unstated,R-ERYONE-eryone-glow-in-the-dark-pla-tds,p. 2: Bending modulus 2mm/min GB/T 9341 MPa,edb6b42f3d1b638158809831ae1e5b005deffd9c5af599dc69fb7b7889df6ade,https://file.globalso.com/file_manage/3828/20250903/eryone-glow-in-the-dark-pla-tds.pdf
implausible,"Prints ""Notched Impact Strength ISO 180 kJ/m2 82"": a notched 82 kJ/m² is PETG's unnotched range; the maker's plain PETG sheet prints 17, and nothing on the matte sheet explains 5× that.",V007970,PETG,SIDDAMENT,PETG Matte,Izod impact strength,82,kJ/m²,5,103.9,16,Not applicable,unstated,S-PCGF-PETG-Matte-TDS-Siddament,p. 1: Notched Impact Strength ISO 180 kJ/m2,996e93039bc14988b45a69c5f5764789f9269c21e5ee3255604cff701351ad83,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PETG_Matte_TDS_Siddament.pdf?v=1747543225
implausible,"Prints ""Izod Impact Strength (Notched) @ 23℃ ASTM D256 kJ/m 160"" (modulus 2870): far past any notched PLA, likely J/m. Footnote (printed, XY, annealed 110°C/15min) also unrecorded.",V005538,PLA,Fiberlogy,IMPACT PLA,Izod impact strength,160,kJ/m²,4.9,95.1,28,Not applicable,unstated,R-FIBERLOGY-FIBERLOGY-IMPACT-PLA-TDS,p. 1: Izod Impact Strength (Notched) @ 23℃ ASTM D256 kJ/m2,d57fb0b76dd54870dfbdae8db83a8366d06f299639fd7cd057431858c1f046a5,https://fiberlogy.com/app/uploads/2026/08/FIBERLOGY_IMPACT-PLA_TDS.pdf
wrong-condition,"Prints ""Bending Strength (X-Y) 132~138 ISO178 Mpa""; value right, but p. 2 ""Testing Specimen Printing Conditions"" (100% infill) makes it printed, not recorded.",V005257,PET-GF,Flashforge,PET-GF,Flexural strength,132,MPa,115,88.2,3,XY,unstated,D-FLASH-PET-GF-TDS-EN,p. 1: Bending Strength (X-Y) ISO178 Mpa,42ce708596453e8e4d792a91c549d3234a69be4da97a488384f167199c05d0df,https://after-support.flashforge.jp/uploads/datasheet/tds/PET_GF_TDS_EN.pdf
