PolymerID,Group,Morphology,Melting point °C,As printed,Water uptake,Neat density min kg/m³,Neat density max kg/m³,SourceID,Basis
PLA,polylactide,amorphous,Not applicable,Not applicable,Not applicable,1170,1330,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PETG,copolyester,amorphous,Not applicable,Not applicable,Not applicable,1220,1300,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PCTG,copolyester,amorphous,Not applicable,Not applicable,Not applicable,1190,1260,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
CPE,copolyester,amorphous,Not applicable,Not applicable,Not applicable,1150,1330,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
CoPE,copolyester,amorphous,Not applicable,Not applicable,Not applicable,Not recorded,Not recorded,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
nGen,copolyester,amorphous,Not applicable,Not applicable,Not applicable,Not recorded,Not recorded,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PET,aromatic polyester,semicrystalline,252,prints amorphous,Not applicable,1300,1420,Not recorded,Handbook values; prints amorphous: PET-GF15 81.6 °C as printed and 133.7 °C annealed (DECISIONS D56).
ABS,styrenic,amorphous,Not applicable,Not applicable,Not applicable,1000,1110,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
ASA,styrenic,amorphous,Not applicable,Not applicable,Not applicable,1030,1110,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
HIPS,styrenic,amorphous,Not applicable,Not applicable,Not applicable,1030,1090,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PC,polycarbonate,amorphous,Not applicable,Not applicable,Not applicable,1180,1230,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PC-ABS,polycarbonate,amorphous,Not applicable,Not applicable,Not applicable,1100,1220,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PC-PBT,polycarbonate,amorphous,Not applicable,Not applicable,Not applicable,1170,1280,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PA,aliphatic polyamide,semicrystalline,210,crystallises while printing,high,Not recorded,Not recorded,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PA6,aliphatic polyamide,semicrystalline,222,crystallises while printing,high,1110,1180,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PA66,aliphatic polyamide,semicrystalline,262,crystallises while printing,high,1120,1170,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PA6/66,aliphatic polyamide,semicrystalline,200,crystallises while printing,high,1100,1160,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
CoPA,aliphatic polyamide,semicrystalline,200,crystallises while printing,high,Not recorded,Not recorded,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PA12,aliphatic polyamide,semicrystalline,178,crystallises while printing,low,990,1040,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PA612,aliphatic polyamide,semicrystalline,218,crystallises while printing,low,1040,1080,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PAHT,aliphatic polyamide,semicrystalline,225,crystallises while printing,low,1000,1200,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PPA,semi-aromatic polyamide,semicrystalline,290,prints amorphous unless fibre-filled,high,1100,1220,Not recorded,"Handbook values; prints amorphous unless fibre-filled: IPCON PPA 103 °C as printed and 131 °C annealed, Bambu PPA-CF 227 °C unannealed (D56)."
PP,polyolefin,semicrystalline,165,crystallises while printing,Not applicable,880,960,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PE,polyolefin,semicrystalline,132,crystallises while printing,Not applicable,900,980,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PPS,polysulfide,semicrystalline,283,"crystallises, not driven by its melting point",Not applicable,1280,1380,Not recorded,"Handbook values; printed hot PPS crystallises (IPCON PPS GF 241 °C, Bambu PPS-CF 264 °C unannealed), but its heat deflection is not modelled on its melting point (D56)."
