ID,Workstream,Class,Severity,Title,Evidence,Repro,SuggestedFix
D-01,D,defect,medium,Estimate model averages as-printed and annealed HDT of one grade as repeats,"build/src/estimates.js rawObservations groups by material|formulation|kind and kindOf() never reads postProcessing. dist/db.json meta.estimateModel.conflicts: M068 'HDT 0.45' [V001931 81.6, V001933 133.7]; M019 'HDT 0.45' [V000350 75.5, V000353 114.7] and 'HDT 1.8 amorphous' [V000349 59.7, V000352 84]; M074 'HDT 0.45' [V002071 236.3, V002072 248.9] and 'HDT 1.8 semi-filled' [V001392 125.8, V002073 219.6]. Sources re-read (hash-ok): R-FIBERON-PETGF15-TDS p1 'ISO 75 0.45MPa 133.7°C (annealed)' / 'ISO 75 0.45MPa 81.6 (as printed)'; S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1 p3 'ISO 75 0.45MPa 75.5°C (as printed)' / '114.7°C (annealed)'; S-FIBER-PPSGF-TDS-2 p1 '*The HDT test specimens were annealed by 130°C. If the annealing temperature is increased to 230°C, the HDT (0.45MPa/1.8MPa) is increased to 248.9°C/219.6°C.' All six groups are caught by the conflict check (noise x25), so the formulation's own HDT evidence is effectively discarded rather than modelled. Also M019 (annealed PLA-GF) is classed matrix 'amorphous', whose 1.8->0.45 conversion (offset 5.2) does not fit an annealed semicrystalline PLA (30.7 °C gap in source).","node -e ""const d=require('./dist/db.json');console.log(d.meta.estimateModel.conflicts.filter(c=>['M019','M068','M074'].includes(c.materialId)))""","Declare a post-processing state (as-printed / annealed / not stated) derived from Post-processing, add it to kindOf so annealed values form their own kind (or are excluded from hdt045, whose headline semantics is as printed), and keep only one state per group; hand the PLA matrix-class question to the physics workstream."
D-02,D,defect,low,HT-PLA-GF as-printed HDT rows carry Post-processing 'Not published',S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1 p3: 'Heat deflection temperature ISO 75 1.8MPa 59.7°C (as printed)' and 'ISO 75 0.45MPa 75.5°C (as printed)'. V000349 and V000350 record Post-processing 'Not published' while their annealed twins V000352/V000353 record 'Annealed (per TDS annealed block)'. V000350 is M019's hdt045 headline.,"grep -E '^V00035[0-3],' data/tables/measurements.csv","Set Post-processing 'As printed' on V000349 and V000350 (source text quoted above), as V001930/V001931 already do. The lead has confirmed this and is relabelling both rows in migration m19; no further action here."
D-03,D,note,low,Post-processing of Bambu HDT rows is coded inconsistently,"24+ Bambu HDT rows put 'All the specimens were annealed and dried at 55/65/75/80 °C ...' into Post-processing, but V000108/V000109 (B-pla-tough-upgrade-TDS), V000128/V000129 (B-pla-translucent-TDS), V000229/V000230 (B-pla-sparkle-TDS), V000703/V000704 (B-pc-fr-TDS), V000948/V000949 (B-pa6-gf-TDS), V001269/V001270 (B-pet-cf-TDS) carry the same sentence only in 'Specimen / print parameters' with Post-processing 'Not published'. I-PPSU-TDS p2 prints 'ASTM D648 ... Unannealed, 3.18' but V001674 has Post-processing 'Not published'. Harmless today (the build ignores the column) but it would mis-key any post-processing state added for D-01. These Bambu 'annealed and dried at 50-80 °C' treatments are drying/conditioning below or near Tg, not a crystallising anneal.",node over data/tables/measurements.csv: Property=HDT and Post-processing='Not published' and /anneal/i in Specimen / print parameters,"Migration moving the printed preparation sentence into Post-processing for these rows; when a state vocabulary is introduced, map Bambu 'annealed and dried at <=80 °C' to a drying/conditioning state distinct from a crystallising anneal."
D-04,D,defect,low,"Izod rows: standard, notch, direction and locator not carried over from the source","I-TPU-TDS p1 ""19.1kJ/m2 Izod Impact Strength, notched (at 23 C) ASTM D256"" -> V000762 Standard / load Not published. X-MAXG-PCTG-TDS-v1-0 p1 ""Izod Impact Stregth ISO 180/A kJ/M2 8"" -> V001529 Notch Not published (ISO 180/A is the type-A notched specimen). R-FLASHFORGE-ASA-GF10-TDS p1 ""Izod Impact Strength (X-Y) 6.3~6.9"" -> V002207 Direction Not applicable, while V001994 from the same X-Y block is XY; V002203/V002204 (Bending, X-Y) also Not applicable. S-PEBA-PEBA90A-TDS-en: ""IZOD Impact Strength (XY-axis) GB/T 1843 NB"" is on page 2; V002167 Locator says p. 1. Values themselves are all correct.","grep -E ""^V(000762|001529|002207|002203|002204|002167),"" data/tables/measurements.csv","One migration: V000762 Standard ASTM D256 and Test temperature 23 °C; V001529 Notch Notched; V002207, V002203, V002204 Direction XY; V002167 Locator p. 2."
D-05,D,defect,low,iSANMATE PLA Glass Fiber tensile strength never transcribed,"I-PLA-Glass-Fiber-Technical-Data-Sheet (hash-ok) p1: ""Tensile Streng MPa ISO 46-56"" (and ""Melt Flow Index (220 ℃, 10Kg) g/10min ASTM D-1238 4-10""). G019-02 holds five rows (V000377-V000381: density, elongation, flexural strength and modulus, water absorption) and no tensile row; no note explains the omission. The earlier audit:sources pass missed it because 46 and 56 match numbers elsewhere. This is the only cached source that prints a tensile value and has no tensile row.",grep -n I-PLA-Glass-Fiber data/tables/measurements.csv; text of .cache/sources/I-PLA-Glass-Fiber-Technical-Data-Sheet.pdf p1,"Add a Tensile strength (endpoint unspecified) row, 46-56 MPa, ISO, Direction/Specimen Not published, for G019-02 (and MFR 4-10 g/10min at 220 °C/10 kg if MFR is kept for other grades)."
D-06,D,policy,medium,Izod strength and Izod impact strength are one test with mixed units and notch states,"34 rows re-read or checked (open-items.md section 2): all ISO 180 / GB/T 1843 (kJ/m²) or ASTM D256 (J/m); I-TPU-TDS reports D256 in kJ/m². Both properties are registered with units ""kJ/m²; J/m"". Numeric J/m rows: V001486, V001673, V001729-V001734, V002084, V001963; numeric unnotched rows V001732-34, V001859-61; notch not stated V001529, V001911-12, V002207-08. Only validate.js IMPACT-UNITS (a warning) keeps them apart.","grep -i izod data/tables/properties.csv; grep -c "",Izod"" data/tables/measurements.csv","Replace ""Izod strength"" by ""Izod impact strength"" with a replaced-by registry record; require Notch; key any comparison or chart on (standard family, notch, unit) so J/m and kJ/m² and notched/unnotched never share an axis."
D-07,D,defect,low,Kimya PEBA-S: live copy found; no hash was ever recorded; printed XY specimens recorded as direction not published,"sources.csv R-KIMYA-PEBA-S-TDS SHA256 ""Not recorded"", Access status ""Indexed content retrieved; direct PDF blocked by site""; URL (samaro.fr/app/uploads/2026/04/...EN-1.pdf) HTTP 404. Live: https://www.samaro.fr/app/uploads/2026/09/ba38ba38d87e28552202938c4c1cc670d8ef6fea3287_Kimya_PEBA_S_3D_Filament_EN.pdf, HTTP 200, SHA-256 66c7b5b1e19bf57ba52811611ef420b1d4d409ad9e043b389b164e45da1c9ce3, p1 ""Dernière mise à jour : 2025-12-22"" (the recorded revision). All 13 values V001887-V001899 match (e.g. ""Tensile Strength 32.8 MPa (4.76 ksi) ISO 37/2/500"", ""Melt flow index (MFI) 13.6 g/10 min ISO 1133-1(@190°C-2.16kg)""). Sheet prints ""PROCESSING Printing Direction XY Printing Speed 44 mm/s""; the 2022 Armor edition (3dee.at, revised 16/06/2022) prints ""PRINTING DIRECTION XY ... PRINTED SPECIMENS PROPERTIES"". Rows record Direction Not published and Specimen type Not published. The transfer REPORT open item 5 says the recorded hash is the only copy; there is no recorded hash.",curl -sI <recorded URL> (404); curl -sL <live URL> | shasum -a 256,"Update the source row (URL, access date, Retrieved, SHA-256 above); set Direction XY and Specimen type Printed specimen on the mechanical rows V001891-V001899 with a note citing both editions; correct the wording of REPORT open item 5."
D-08,D,defect,low,Re-read batch 1: 14 mechanical rows need a direction correction; PolyMide water-absorption rows borrow the mechanical preparation note,"All values in batch 1 match their sources (rereads.csv). Direction: R-FLASHFORGE-ASA-GF10-TDS ""(X-Y)"" -> V002203, V002204, V002207 should be XY; I-CF-ABS-TDS (V002170-73), I-PETG-TDS (V002182-83), I-PPSU-TDS (V002190-91), I-ASA-Glass-Fiber-Technical-Data-Sheet (V002219-21) print no direction -> Not published; V002078 (Spectrum PA6, no direction) -> Not published. Not applicable is defensible for V002085 (""*injection moulding"") and the ASTM D882 film rows V002179-81. Moisture: S-POLYCN-PolyMide-CoPA-TDS-V5-2 p2 ""Equilibrium water absorption (%)= 2.82 %"" while ""All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing"" is printed on p4 under the mechanical table; same layout in the PA6-GF (p4 line 50) and PA12-CF (p4 line 52) sheets. So V002155/V002156/V002159 Post-processing is misattributed, and C-15's proposed ""Dried before testing"" would be wrong for an equilibrium absorption. V000894/V000920/V002078 ""Dry (source row); table heading 50% RH"" is right: ""Mechanical Properties at 23°C / 50% rh ... (dry, at 50 mm/min)"". V002055: Izod name with ISO 179, test cannot be settled (source error). V001700 is a strand test (""Tensile Yield Strength for Filament [MPa] 57 ± 1""); V001683, V001310, V001550 are correct as published.",rereads.csv rows tagged Batch 1,"Migration: Direction XY on V002203/V002204/V002207, Not published on V002078, V002170-73, V002182-83, V002190-91, V002219-21; Post-processing Not published on V002155/V002156/V002159 (and review the PolyMide physical/thermal siblings that carry Dried before testing from the same p4 note); accept EST-OUTLIER for V001683/V001310/V001550 with the source quote."
D-09,D,note,low,Uncertified screening classes: HDT this-material is 2 cases short; semicrystalline brackets govern no material today,"dist/db.json meta.estimateModel: tensileStrengthXY this-material held 10 (0/0 misses), hdt045 this-material 18 (1/1), bracketScreening semi-filled 12 (2 high, pHigh 0.035), semi-unfilled 3, elastomer 1; reproduced independently with kindOf. Only M004 PLA Lite (amorphous, certified) has an unstated-load hdt045 headline. Public TDS found for second grades of M027 ABS, M031 ASA, M035 PC, M036 PC FR, M067 PET-CF, M024 PETG-CF, M048 PAHT-CF (e.g. PolyLite_ABS_TDS_V5.3.pdf p3 ""Heat deflection temperature ISO 75 0.45MPa 99.6 °C""). New semi-filled pairs from Fiberon PET-CF17 (""1.8MPa 105 °C"", ""0.45MPa 147.5 °C"") and Ultrafuse PAHT CF15 (""HDT at 0.45 MPa (dry) 145 °C"", ""1.8 MPa (dry) 92 °C"") exceed the current +39 °C bracket top, so the semi-filled class will likely widen, not certify. Elastomer HDT pairs are not realistically obtainable.","node -e ""const d=require('./dist/db.json');for(const[k,p]of Object.entries(d.meta.estimateModel.properties))console.log(k,p.screening);console.log(d.meta.estimateModel.bracketScreening)""",Add the listed second-grade sources (open-items.md section 3) through the normal source workflow; consider dropping the elastomer bracket class; keep the rule unchanged.
D-10,D,policy,medium,"PP headline and facet describe HyperLite PP, a lightweight-additive product, as unfilled polypropylene","X-Hyperlite-PP-TDS-v1 p1 ""Density ISO 1183 g/cc 0.81"", ""Tensile Modulus ISO 527 MPa 1650"", ""Tensile Elongation, Break ISO 527 % 13""; R-TRINITY3DS-HYPERLITE-PP ""a specialty additive which enables ultra low density"", ""0.75g/cc"". I-PP-TDS p1 ""Density ... O.89"", ""Elongation At Break % ISO527 460"", ""Flexural Modulus MPa ISO178 390"". M082 PP headlines (density 810, modulus 1.65 GPa, elongation 13 %, HDT 94 °C) all cite G082-01; compiled facet reinforcement = unfilled; G082-01 Composition says ""A lightweight variant, not unfilled PP"". PLA Aero/ASA Aero are separate materials with Modifier Foaming. Splitting would make iSANMATE PP (HDT 92 °C, load not printed) the PP headline, putting the uncertified semi-unfilled bracket in charge.","node -e ""const d=require('./dist/db.json');const m=d.materials.find(x=>x.id==='M082');console.log(m.facets.reinforcement,m.headline.density.value,m.headline.elongationXY.value)""",Owner decision. Recommended: new material (PP Lightweight / HyperLite PP) with a Lightweight additive modifier and facet; M082 PP on G082-02. Minimum: derive the reinforcement facet from the representative grade Variant so PP is not shown as unfilled.
