Section,Topic,Definition / rule
Scope,Snapshot,2026-09-16. 98 candidate materials: 92 in H2C scope and six excluded; five family entries. Manufacturer source audit and missing-data research implemented; the 2026-09-16 source re-read and polymer-level references added; no ranking or weighted selection score.
Scope,Protected references,"Materials Wiki, the legacy XLSM and synced project sources are read-only references. No workbook macros were executed or imported."
Identity,Aliases,"CPE/CoPE, TPC/TPEE and umbrella nylon records remain separate canonical rows. Shared formulation keys identify repeated commercial evidence, not independent tests."
Identity,Grade sample,Up to three technical grade samples per generic entry. Exact Bambu entries use their own TDS. Supplemental study grades carry R1 suffixes and are not procurement grades. Manufacturer-count shortfalls are explicit.
Evidence,Priority,"Official printer documentation for H2C routes. Manufacturer TDS/SDS for exact grades. Original studies for measured behaviour. Retailer evidence is used for prices, not technical properties. Wiki for selection concepts only."
Evidence,Missing data,"Not published means absent from the sampled evidence, not proven absent from all literature. Insufficient comparable data means values cannot support the proposed comparison. Not applicable means the field does not apply. Never use zero for missing data."
Evidence,Claims,"A product description is a manufacturer claim, not independent validation. Certifications are grade-, colour-, thickness- and application-specific. No food-contact or general safety approval is implied."
Comparison,Headlines,"Materials shows labelled single-grade observations with measurement IDs, not cross-grade family ranges. This avoids mixing incompatible standards, moisture states, preparation, geometry, load and orientation."
Comparison,Directions,"XY and Z remain separate. Unknown direction is not XY. Printed, resin, filament and unspecified specimens cannot be treated as equivalent."
Comparison,Strength and toughness,"Tensile yield, break and unspecified-endpoint strength are separate. Flexural strength is not tensile strength. Charpy/Izod, notch state and energy-per-width versus energy-per-area are distinct. Impact does not substitute for KIC."
Comparison,Thermal,"Keep HDT load, Tg, Vicat, melting and continuous-service ratings distinct. A TDS test-preparation anneal is not automatically a recommended part anneal. Dimensional change must be qualified."
Normalization,Units,Density g/cm³ ×1000 = kg/m³. Modulus MPa ×0.001 = GPa. Strength MPa remains MPa. Area-normalized impact remains kJ/m². No conversion from J/m without specimen geometry. CTE target is µm/m/K.
Normalization,Uncertainty,Raw ± term and ranges are retained separately. The source may not identify whether ± is standard deviation. Values with unresolved units/layout are quarantined and excluded from numeric summaries.
Pricing,Eligible observations,"CAD Canadian storefronts only. In-stock, non-bulk regular prices, before tax and shipping. Net filament mass only. Promotions visible separately. Bambu variant price must match an explicit MSRP or a verified single-unit regular header price with no promotion in that price block."
Pricing,Median sample,"Up to three observations per material, prioritizing distinct retailers. One offer per retailer prevents colour-count bias. Prefer spool and mass closest to 1 kg. Refills remain explicitly labelled. Grade-matched sample is not a whole-market lowest-price search."
Pricing,Calculations,"Regular CAD/kg = regular CAD price / net filament kg. Headline = median of eligible flagged observations. A 0.5 kg spool doubles CAD/kg relative to its spool price; a 0.75 kg spool divides by 0.75. Sale, bulk, unavailable and imported offers do not enter the median."
Pricing,Refresh,"Price observations are snapshots. Stale-price threshold is 30 days from the fixed snapshot date, not a live TODAY calculation. Recheck stock and variant when buying."
H2C,Hardware baseline,"350°C nozzle, 120°C bed and 65°C active chamber, subject to nozzle and hotend route. A grade needing more is not approved merely because its polymer family appears in marketing material."
H2C,Routing baseline,H2C-WIKI controls route-specific restrictions. PET-CF/PPA-CF/PPS-CF are left-only there. Soft TPU restrictions and promised firmware support are not treated as released support.
H2C,Temperature pairing,"Do not mix high- and low-temperature groups. Low-temperature materials can soften in a hot chamber. PVA support pairing requires H2C-specific routing verification; generic soluble support guidance is insufficient. The low-temperature chamber guide limit is 45 °C, and pairing is verified per grade, not per family."
Selection,Time dependence,For sustained loads use grade/condition/time/temperature-specific creep or relaxation data. Short-term modulus and strength alone do not predict clamp-force retention or long-term deflection. See LOCAL-CREEP.
Selection,Fatigue,"Study stress/cycle observations are not design allowables. A 1,000,000-cycle run-out is right-censored, not proof of infinite life. Preserve R, frequency, temperature and raster. Reinforcement does not guarantee improved fatigue. See LOCAL-FATIGUE."
Rubric,R-PRINT,"Analyst rubric published here, not a manufacturer-measured score. 1: straightforward profile, little warping. 2: ordinary profile plus routine tuning. 3: drying/adhesion control central. 4: several material-specific constraints or advanced handling. 5: severe adhesion/warping or industrial thermal requirements. Higher means greater processing burden."
Rubric,R-PRINT evidence,"Only mapped where manufacturer guidance supports an anchor. PLA=1; PETG=2; ABS/ASA/PC/PA/soft TPU/soluble supports=4; unfilled PP=5. Reinforced, effect, hardness and brand variants do not inherit a numeric family rating. No universal chemical score."
Rubric,Rubric limits,"Ratings are qualitative screening judgments, not H2C test results. Texture, tolerances, creep, fatigue and chemical endurance remain unscored where an anchored, grade-specific comparison is unavailable."
Legacy crosswalk,Density,Density; kg/m³. MainUi D9; Database E:F. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Young’s modulus,Tensile modulus with direction/condition; GPa. MainUi D28; Database G:H. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Yield strength,Tensile yield strength; MPa. MainUi D46; Database I:J. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Tensile strength,Tensile ultimate or source-labelled endpoint; MPa. MainUi D64; Database K:L. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Compressive strength,Compression strength with failure criterion and conditioning; MPa. MainUi D82; Database M:N. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Elongation,Elongation at break; preserve % and gauge/test method; %. MainUi D100; Database O:P. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Fracture toughness,KIC or other declared fracture metric; never impact; MPa√m. MainUi D118; Database Q:R. Original min/max pairs; uncited numeric values are not imported.
Legacy crosswalk,Thermal expansion,Coefficient of thermal expansion with direction and interval; µm/m/K. MainUi D137; Database S:T. Original min/max pairs; uncited numeric values are not imported.
Verification,Coverage,Coverage is terminal: it reports gaps and conflicts but does not drive material or price calculations. A row with evidence is not a declaration that all properties are known.
Verification,Research limitations,"Rare PA66, PA66-CF, unfilled PA612 and PA612-GF lack verified exact-grade technical profiles in this sample; POM has an exact product page but no mechanical, HDT or chamber values. PLA Lite and PLA Silk carry third-party technical grade samples (eSUN PLA-Lite, Panchroma Silk PLA), not the original products. Full H2C routing/AMS validation is not established for every third-party grade."
Verification,Safety,"Nozzle thermal limits, ventilation, solvent handling, dust and exact-grade SDS review remain necessary. Low odour and polymer food-contact statements do not establish a safe printed article or process."
Verification,Final compatibility recheck,"Official H2C manual V1.0 January2026 was accessible again on2026-09-10; brittle-filament route restriction confirmed. Direct wiki refresh returned402 in the web reader, so the retrieved source snapshot is retained. Firmware-sensitive soft-TPU support remains conservatively unverified; confirm installed firmware before use."
Evidence,Transcription corrections,"""Published value (transcription corrected)"" marks a row whose VALUE or UNIT was recovered from the cited source after an earlier parsing error, with the reasoning recorded in the row Notes. It is a re-read of the same source, never an inference from a different grade or from the literature. Such rows re-enter numeric summaries; rows that could not be recovered stay at ""Unresolved unit / layout"" and stay quarantined."
Verification,2026-09-11 conflict pass,"Nine of fifteen quarantined measurements were resolved by re-reading the cited TDS. Two conflicts were closed (IPCON PPA AMS wording, 3DXTECH PEEK temperature ranges - non-blocking because both exceed the 350/120/65 baseline). Four fatigue conflicts were confirmed as genuine source defects by recomputing the stated percentages against the stated ultimate strengths. Four items remain open: the iSANMATE rows (robots-disallowed, five measurements plus the PLA-GF composition and PEI/PEEK unit rows), the FormFutura PET hardness row (image-only PDF), and the Spectrum PCTG notched Izod row (defect verified present in the current TDS)."
Evidence,2026-09-13 manufacturer audit,"Official and current manufacturer evidence was checked for Bambu Lab, eSUN, Fillamentum, BASF Forward AM, Stratasys, 3DXTECH, Markforged, Essentium/Nexa3D, Polymaker, Prusa Research and Kimya/Airtech. Exact-grade identity was required for inserted values."
Evidence,Hash and token verification,"86 existing target-manufacturer source records were refetched or checked; every recorded hash matched fetched bytes. 1,333 existing numeric property rows were checked for their raw numbers in extracted current PDF text with zero missing numeric tokens. This detects stale files and many transcription errors, but not every possible semantic mislabel."
Evidence,No silent substitution,Current catalog products were not inserted merely because their family name looked similar. Closed-platform or over-sample candidates remain in the external research report unless an exact canonical mapping and evidence need justified a workbook grade.
