Token,Polymer,Family,Note
abs,ABS,ABS,
apla,PLA,PLA,3D-Fuel's annealable PLA
arnitel,TPC,Flexible Elastomers,DSM's copolyester elastomer line
asa,ASA,ASA,
bvoh,BVOH,Support / Soluble,
coc,COC,PVB / Specialty Polymers,no polymers.csv row yet
copa,PA6/66,Nylon / Polyamide,"a copolymer of nylon 6 and 6,6; CoPA is an alias of PA6/66 (D44)"
cope,CoPE,Copolyesters,
cpe,CPE,Copolyesters,
epla,PLA,PLA,
extem,TPI,Industrial High-Temperature - Outside H2C Practical Envelope,SABIC's brand of thermoplastic polyimide
filaflex,,Flexible Elastomers,Recreus's elastomer line is a TPU except its SEBS grade: a ruling
greentec,,PLA,Extrudr's PLA-based biopolymer; which grade is a ruling
hdpe,PE,Polyolefins,
hdpla,PLA,PLA,
hips,HIPS,Styrenics,
htn,PPA,High-Performance Engineering,a semi-aromatic polyamide sold as HTN
htpla,PLA,PLA,a high-temperature PLA is still PLA
lcp,LCP,High-Performance Engineering,no polymers.csv row yet
mabs,ABS,ABS,transparent ABS
ngen,nGen,Copolyesters,
nylon,,Nylon / Polyamide,which nylon is a ruling: PA is a family entry and owns no product (D44)
obc,OBC,Flexible Elastomers,
pa,,Nylon / Polyamide,as above
pa11,PA11,Nylon / Polyamide,no polymers.csv row yet: needs one before a grade cites it
pa12,PA12,Nylon / Polyamide,
pa6,PA6,Nylon / Polyamide,
pa6-66,PA6/66,Nylon / Polyamide,"the slash form cannot survive tokenisation, because a slash separates tokens"
pa6/66,PA6/66,Nylon / Polyamide,
pa612,PA612,Nylon / Polyamide,
pa66,PA66,Nylon / Polyamide,
paek,PAEK,Industrial High-Temperature - Outside H2C Practical Envelope,no polymers.csv row yet
paht,PAHT,Nylon / Polyamide,
pbat,PBAT,PVB / Specialty Polymers,no polymers.csv row yet
pbt,PBT,Polymer Blends,no polymers.csv row yet
pc,PC,Polycarbonate,
pc-abs,PC-ABS,Polymer Blends,
pc-asa,PC-ASA,Polymer Blends,"a polycarbonate and ASA blend; the estimate model identifies a blend by its own name, and there is no polymers.csv row for this one (ruling R017)"
pc-pbt,PC-PBT,Polymer Blends,
pcabs,PC-ABS,Polymer Blends,
pcl,PCL,PVB / Specialty Polymers,no polymers.csv row yet
pctg,PCTG,Copolyesters,
pe,PE,Polyolefins,
peba,PEBA,Flexible Elastomers,
peek,PEEK,Industrial High-Temperature - Outside H2C Practical Envelope,
pei,PEI,Industrial High-Temperature - Outside H2C Practical Envelope,
pekk,PEKK,Industrial High-Temperature - Outside H2C Practical Envelope,
pes,PESU,Industrial High-Temperature - Outside H2C Practical Envelope,"polyethersulfone. Without this row the tokeniser reads PES as PE plus a letter, and a 225 °C sulfone is filed as polyethylene"
pesu,PESU,Industrial High-Temperature - Outside H2C Practical Envelope,
pet,PET,PET Engineering,
pet-g,PETG,PETG,
petg,PETG,PETG,
pha,PHA,PVB / Specialty Polymers,no polymers.csv row yet
pla,PLA,PLA,
plalw,PLA,PLA,
plla,PLA,PLA,poly-L-lactide is PLA
pmma,PMMA,PVB / Specialty Polymers,no polymers.csv row yet
polycarbonate,PC,Polycarbonate,
polyurethane,TPU,,"a sheet that names the chemistry rather than the class: thermoplastic polyether or polyester polyurethane is TPU"
pom,POM,Acetals,
pp,PP,Polyolefins,
ppa,PPA,High-Performance Engineering,
ppe,PPE-PS,Polymer Blends,"polyphenylene ether is sold as a blend with polystyrene, which is what 3DXTECH prints on its sheet (ruling R018); it is not polypropylene"
ppe-ps,PPE-PS,Polymer Blends,as above
pps,PPS,High-Performance Engineering,
ppsf,PPSU,Industrial High-Temperature - Outside H2C Practical Envelope,
ppsu,PPSU,Industrial High-Temperature - Outside H2C Practical Envelope,
psu,PSU,Industrial High-Temperature - Outside H2C Practical Envelope,
pva,PVA,Support / Soluble,
pvb,PVB,PVB / Specialty Polymers,
pvc,PVC,PVB / Specialty Polymers,no polymers.csv row yet
pvdf,PVDF,Fluoropolymers,
rpetg,PETG,PETG,
rpla,PLA,PLA,recycled PLA
san,SAN,Styrenics,no polymers.csv row yet
sebs,SEBS,Flexible Elastomers,no polymers.csv row yet
sflex,TPU,Flexible Elastomers,"Spectrum's flexible line: S-Flex 85A and 98A state a thermoplastic polyether polyurethane, and 90A and Carbon carry the same name (ruling R014)"
tarfuse,POM,Acetals,Grupa Azoty's acetal line
tpc,TPC,Flexible Elastomers,
tpe,,Flexible Elastomers,"TPE is a family here, not a polymer: M044 is a Family entry and owns no product (D44). Which elastomer it is comes from the sheet"
tpee,TPC,Flexible Elastomers,
tpi,TPI,Industrial High-Temperature - Outside H2C Practical Envelope,"thermoplastic polyimide (SABIC EXTEM): a polymer with no row in polymers.csv, and a 300 C extrusion temperature (ruling R019)"
tps,TPS,Flexible Elastomers,a styrenic thermoplastic elastomer; no polymers.csv row yet
tpu,TPU,Flexible Elastomers,
ultem,PEI,Industrial High-Temperature - Outside H2C Practical Envelope,
xpetg,PETG,PETG,
polylactic,PLA,PLA & Biopolymers,"a sheet may spell the polymer out: Fillamentum heads its Chemical properties table ""Polymer base"" and prints polylactic acid"
polyolefin,,Polyolefins,"which polyolefin is a ruling: a polyolefin elastomer is not polyethylene, and the family owns no product (D44)"
polyhydroxy,PHB,PLA & Biopolymers,"which polyhydroxyalkanoate a sheet means is a ruling: its grades are amorphous or semicrystalline and one row cannot be both (R055)"
