CoverageID,MaterialID,Domain,Status,Manufacturer count,Finding
C00065,M001,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00066,M001,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00067,M001,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00068,M001,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00069,M001,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00070,M001,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00075,M002,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00076,M002,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00077,M002,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00078,M002,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00079,M002,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00080,M002,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00082,M002,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00085,M003,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00086,M003,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00087,M003,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00088,M003,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00089,M003,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00090,M003,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00092,M003,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00095,M004,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00096,M004,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00104,M005,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00105,M005,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00106,M005,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00107,M005,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00108,M005,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00109,M005,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00114,M006,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00115,M006,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00116,M006,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00117,M006,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00118,M006,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00119,M006,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00121,M006,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00124,M007,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
